idx,category,cd_l1,gt_b0,pred_b0,gt_b1,pred_b1,w2_h0,w2_h1,w1_h0,bd_h0,bd_h1,n_gt_h0,n_pred_h0,n_gt_h1,n_pred_h1,topo_error
115,sofa,20.612601190805435,1,1,0,0,0.009852479929745408,0.011017977910115169,0.15400527773213385,0.0014162383301771645,0.0014906797809797507,256,256,858,878,0.02087045783986058
116,sofa,9.295209310948849,1,1,0,0,0.001036011516209568,0.001693910076371209,0.015912043301148506,0.00013104716569455055,0.0004081224215133142,256,256,783,806,0.0027299215925807767
117,sofa,10.519556701183319,1,1,0,0,0.0012620666366132784,0.0025353722627667213,0.01935881150602944,0.00021460386362561704,0.0004146257078545389,256,256,757,812,0.0037974388993799995
118,sofa,8.735526353120804,1,1,0,0,0.000872435727896852,0.0028812062639640835,0.011605316510195474,0.00028652250113492175,0.0005388894238321471,256,256,837,779,0.0037536419918609357
119,sofa,7.687828503549099,1,1,0,0,0.00036639514552527287,0.0012211264222366568,0.005078948603815162,0.00010739847798072171,0.00035348362809584343,256,256,827,825,0.0015875215677619296
120,sofa,7.911458611488342,1,1,0,0,0.0010367459299126902,0.0023213569922179607,0.01591015228613878,0.0001898813609900107,0.0005364507389837213,256,256,867,859,0.003358102922130651
121,sofa,11.318882927298546,1,1,0,0,0.004698745200708307,0.0049304939180544885,0.07415101043173598,0.0004948901176921334,0.0007735790091308739,256,256,753,837,0.009629239118762796
122,sofa,7.158593740314245,1,1,0,0,0.0007039794812085392,0.0012876668881908354,0.010724671259056559,0.0001457777142891783,0.00017782126767632933,256,256,702,742,0.0019916463693993745
123,sofa,8.492236956954002,1,1,0,0,0.00042192828350879957,0.0020363254618860926,0.003737438609958269,0.0002873261265871488,0.0005422153572685034,256,256,741,729,0.002458253745394892
124,sofa,12.482991442084312,1,1,0,0,0.002398378166797257,0.004813522766288498,0.035906280807097374,0.0005103324408192583,0.0007811536298925701,256,256,729,795,0.007211900933085755
125,sofa,6.337250117212534,1,1,0,0,0.002098717664166956,0.004874179153943017,0.031342917640832094,0.0006309311806041509,0.002559093284608051,256,256,427,591,0.006972896818109973
126,sofa,8.861728012561798,1,1,0,0,0.0012628465008212195,0.0032822252606456957,0.01900989084594747,0.0003576417259744426,0.0006460136176595598,256,256,689,713,0.004545071761466915
127,sofa,7.016332820057869,1,1,0,0,0.0020658545601488355,0.0033717704558153226,0.03140343320464707,0.0004159046702030267,0.0006245167661958614,256,256,688,786,0.0054376250159641586
128,sofa,8.526870049536228,1,1,0,0,0.003114521159571024,0.005155625115769966,0.04763760162452877,0.00047900496724061215,0.0008056342958110245,256,256,530,660,0.00827014627534099
129,sofa,7.446927484124899,1,1,0,0,0.0016105348251618324,0.002073780231343265,0.025480291197253348,0.0001891312167077719,0.00040104198817335476,256,256,804,789,0.0036843150565050975
130,sofa,12.79553584754467,1,1,0,0,0.00386468203092207,0.005329509514850877,0.05824920731048093,0.0011653946871028548,0.0008828794159223994,256,256,832,829,0.009194191545772947
131,sofa,7.708344142884016,1,1,0,0,0.0016568088593362847,0.0020146754873734177,0.02585748950450668,0.00019308466745653063,0.0003164737085565435,256,256,715,760,0.0036714843467097026
132,sofa,8.776845410466194,1,1,0,0,0.0021021868230064046,0.0035600123780150875,0.03033048080012593,0.000751573316507337,0.0006275921701762469,256,256,706,804,0.0056621992010214926
133,sofa,11.232363991439342,1,1,0,0,0.003401479625270793,0.00490176664567073,0.05344658863888149,0.000274887344642698,0.0006518202083331319,256,256,752,798,0.008303246270941523
134,sofa,9.293202310800552,1,1,0,0,0.001993576628473231,0.002479579273992572,0.0265754339281724,0.0005848468798545078,0.0003143646602111645,256,256,778,801,0.004473155902465803
135,sofa,5.226905457675457,1,1,0,0,0.000495921456052402,0.0015988584816949531,0.006313729519145267,0.00018134150754068115,0.00027668305440711445,256,256,715,750,0.002094779937747355
136,sofa,10.098190978169441,1,1,0,0,0.0020209873964797823,0.002439425593801194,0.018704217492993006,0.0011336184793243886,0.001265063981126241,256,256,719,746,0.004460412990280976
137,sofa,9.657979011535645,1,1,0,0,0.0019581446641940073,0.003340282558173988,0.027504614027053977,0.00029084385299099624,0.0004815404350529684,256,256,771,860,0.005298427222367995
138,sofa,6.486091297119856,1,1,0,0,0.000937991907483042,0.0012311837460994893,0.01380414171439519,0.00020511626195804378,0.00029060137633454396,256,256,752,744,0.0021691756535825316
139,sofa,11.323886923491955,1,1,0,0,0.005700439341888304,0.004449231269615729,0.0854230644070572,0.0015063248502642321,0.0013097657785799178,256,256,491,745,0.010149670611504033
140,sofa,10.02129539847374,1,1,0,0,0.0018632458231312883,0.0032949847439392123,0.029325448781077398,0.00023130453702157466,0.0005940036481090066,256,256,753,798,0.0051582305670705006
141,sofa,6.193839013576508,1,1,0,0,0.0008353961634483853,0.0017844530974598554,0.008610939034902218,0.00045047675552040145,0.00026655604007868716,256,256,746,756,0.002619849260908241
142,sofa,6.025729235261679,1,1,0,0,0.0012876646639624128,0.0029607017355353913,0.017840153957278497,0.0004059909345131899,0.0004654991288031412,256,256,644,731,0.004248366399497805
143,sofa,8.268697187304497,1,1,0,0,0.0010901273131569446,0.0020379816162538226,0.01626395389364406,0.0001336025628819043,0.0006140869212952498,256,256,774,831,0.003128108929410767
144,sofa,9.878702461719513,1,1,0,0,0.0010557705025852444,0.0026156508382934015,0.01448756502399786,0.00023540843428787595,0.0003733044433736673,256,256,835,838,0.003671421340878646
145,sofa,9.808378294110298,1,1,0,0,0.0012959761789551778,0.0019372857093975693,0.020357568619870047,0.00011390132393107252,0.00033481756217822395,256,256,794,854,0.003233261888352747
146,sofa,7.3224264197051525,1,1,0,0,0.0008537730491729556,0.001290570969487097,0.010123880064661452,0.00042024362557950556,0.00032104081975034733,256,256,789,805,0.0021443440186600525
